resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
1642402089883007,Likliki,[ Es Krim ],False,-6.9051819000000005,107.623053," Krang Kring Jl. Ciliwung No. 1 - 3, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402090851703,Sate Cilampeni 40,[ Indonesia ],False,-6.9057960000000005,107.62426599999999," Kedai Kuliner Jl. Taman Cibeunying Selatan No. 33, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (11:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402091535812,Sushi Boon,[ Jepang ],False,-6.905139,107.623061," Krang Kring Jl. Ciliwung No. 1 - 3, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (10:00 - 22:00), Sabtu - Minggu (10:00 - 23:00)","Tunai,Visa,Master,Debet",no,no,yes,yes,no,yes,no,yes,yes,no,no
1642402092314596,Zona Nyaman,[ China ],False,-6.905226799999999,107.6225652," Jl. Ciliwung No. 4A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (10:00 - 22:00),Tunai,yes,no,yes,no,no,yes,no,no,no,no,no
1642402093115947,Baso Malang Cepot,[ Indonesia ],False,-6.9062470000000005,107.614356," The Secret Factory Outlet, Secret Garden Jl. LLRE Martadinata No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402093815895,Ten To Ten Cafe,[ China ],False,-6.913860000000001,107.626122," Jl. Gandapura No. 40, Riau, Bandung ( Alamat Lama: Jl. Sabang No. 101, Riau, Bandung ) ", Rp. 50.000 - Rp. 100.000 /orang ,3.9,4.0,3.0,5.0,3.5,4.0,Senin - Minggu (09:00 - 20:00),"Tunai,Debet,Ovo",no,no,yes,yes,no,yes,no,yes,yes,no,no
1642402095839907,Sambal Khas Karmila,[ Indonesia ],False,-6.9078610000000005,107.62269199999999," Jl. Sabang No. 63, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.82,4.5,3.4,4.1,3.6,3.5,Senin - Minggu (09:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,no,no,yes,no,yes,yes,no,no
1642402099250164,Mister Daily,[ Minuman ],False,-6.904277,107.6202," Waroeng Tjimanoek Jl. Cimanuk No. 5A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu (11:00 - 24:00), Minggu (11:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402099944978,Sobremesa by Keinarra Yumna,[ Minuman ],False,-6.90522,107.622619," Jl. Ciliwung No. 4A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Sabtu (10:00 - 22:00), Minggu Tutup",Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642402100612184,Royal Kashimura Japanese Shabu & BBQ,[ Jepang ],True,-6.9069720000000006,107.61975100000001," Jl. Lombok No. 45, Riau, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,3.69,3.8,4.2,3.2,3.7,3.6,Senin - Minggu (11:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
