user_id,username,alpha_badge,review_count,account_level,badges
JesChristie,JC Wen,Alfa 2021,1144,17,"Steak,Ramen,Chinese Food,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
Inay,Inay,no badge,40,6,no badge
puji_lana_ainan,puji lana ainan,no badge,2,1,no badge
azkahadian,Azka Ahadian,no badge,1,1,no badge
jung_farkhan_isa_wilmansyah,Jung,no badge,18,3,no badge
friska_rachelia,friska rachelia,no badge,6,2,no badge
makansamaoki,@makansamaoki,Alfa 2019,250,12,"Kopi,Bakmi,Sushi,Burger,Dessert,"
vincencius_gabriel_febrianto,Gabriel Febrianto,no badge,10,3,no badge
ajeng_bungah_reskina,Ajeng Bungah Reskina,no badge,33,5,no badge
firli_fadillah,firli fadillah,no badge,13,3,no badge
lei_fam,lei Fam,no badge,4,1,no badge
yantioctavianti,yantioctavianti,no badge,1,1,no badge
okkyaditya20,Okky Aditya,no badge,3,1,no badge
mftravelling,mftravelling,no badge,8,2,no badge
evelyn_nathania,@evelfoodstory,no badge,11,3,no badge
nafisalma,Nafisa Alfi Salma,no badge,12,3,no badge
argan_yoga,Argan Yoga,no badge,1,1,no badge
natsu_dragneel,Natsu Dragneel,no badge,1,1,no badge
hardiyanto_fisena,Hardiyanto Fisena,no badge,2,1,no badge
rayimuhammad,Rayi Muhammad,no badge,1,1,no badge
leonardo_lawuan,Leonardo Lawuan,no badge,32,5,"Kopi,"
yukjalanjajan,Erika Amandasari,Alfa 2018,346,13,"BBQ,Kopi,Bakmi,Dessert,Bubble Tea,"
artimgwt,Arti Megawati,no badge,5,2,no badge
allamanda91,Putri Miranti Allamanda,no badge,36,5,"Kopi,"
rifqiriadi,Pengabdi Promo @Rifqi.Riadi,no badge,9,2,no badge
mentari_mardiani_sunandi,Mentari Mardiani Sunandi,no badge,1,1,no badge
oki_oq,Ocktaviani Dewi,no badge,7,2,no badge
UrsAndNic,UrsAndNic,Alfa 2021,3448,25,"Steak,Ramen,Chinese Food,Dimsum,Seafood,BBQ,Pancake,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
della_nurlaila,della nurlaila,no badge,3,1,no badge
reky_s_karnoto,Reky Karnoto,no badge,2,1,no badge
ratih_gustiana_agmer,Ratih Agmer,no badge,15,3,no badge
reza_novitrianingrum,Reza Novitrianingrum,no badge,1,1,no badge
azay_muhammad,Azay Muhammad,no badge,1,1,no badge
fasya_harsa,Fasya Harsa,no badge,1,1,no badge
farraas_m_hendroyono,Farraas M Hendroyono,no badge,1,1,no badge
vikka_fahriyati,Vikka Fahriyati,no badge,1,1,no badge
alya_ratnadewi,Alya Ratnadewi,no badge,1,1,no badge
mia_rizqi_maulida,Mia Rizqi Maulida,no badge,1,1,no badge
nida_khairunnisa,Nida Khairunnisa,no badge,9,2,no badge
syifaagm,Syifa A. Mauli,no badge,7,2,no badge
halliberty,halliberty,no badge,10,2,no badge
leillyzahara,Leilly Maulida Zahara,no badge,5,1,no badge
achmad_taufiq,Achmad Taufiq,no badge,1,1,no badge
rahmat_kurniawan_nugraha,Rahmat Kurniawan Nugraha,no badge,7,1,no badge
fitafatimah02,Fita Fatimah,no badge,5,2,no badge
Etuti,Etuti,no badge,1,1,no badge
giavano,Gia Vano,no badge,25,5,no badge
tessa_prima_dewi,Tessa Prima Dewi,no badge,1,1,no badge
yustina_meranjasari,Yustina Meranjasari,no badge,63,7,no badge
foodfoodiebdg,Food Foodie Bdg,no badge,28,5,no badge
missgranger,Lia Harahap,no badge,102,9,"Bakmi,Dessert,"
Irine,Irine,no badge,71,8,no badge
aghniulma,Aghni Ulma Saudi,Alfa 2017,340,13,"Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,"
renzculous,Florencia Wirawan,no badge,44,6,no badge
anggienzhie,anggie enzhie,no badge,8,2,no badge
femmy_fahriani,Femmy Fahriani,no badge,73,8,"Pasta,Dessert,"
p_puji_saraswati,Puji Saraswati,no badge,2,1,no badge
mary_jo_herwida,Herwida,no badge,49,6,no badge
thomasmuliawan,thomas muliawan,Alfa 2017,116,9,"Bakmi,Dessert,"
yovent_then,IG: FOODIOZ,Alfa 2018,633,14,"Steak,Chinese Food,Seafood,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
katakaya,katakaya,no badge,24,4,no badge
all_me_yeah,Gregorius Bayu | ig: exploresto,Alfa 2021,1893,19,"Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
anndaabigaillee,Annda Abigail Lee,no badge,87,8,"Kopi,"
purwarini_ika,Ika Purwarini,no badge,1,1,no badge
valenhoo,valen hoo,no badge,1,1,no badge
ssalmaw,S Salma W,no badge,2,1,no badge
ria_tumimomor,Ria Tumimomor,Alfa 2021,787,17,"Steak,Ramen,Chinese Food,Dimsum,Seafood,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,"
fransiska_melyana,fransiska melyana,no badge,11,3,no badge
praptanta_rikintokoadi,praptanta rikintokoadi,no badge,21,4,no badge
gabriellebs,Gabrielle,no badge,17,3,"Kopi,"
eatingforlyfe,Fioo | @eatingforlyfe,Alfa 2021,242,12,"Kopi,Bakmi,Dessert,Bubble Tea,"
ayu_zara,our foodiaries,no badge,6,2,no badge
salvotorque,Salpoo,no badge,3,1,no badge
piero_adrian40,piero adrian40,no badge,3,1,no badge
stefan_rifaldi,stefan rifaldi,no badge,3,1,no badge
salma_shofiyyah,Salma Shofiyyah,no badge,58,6,no badge
balebatbuana,Balebat Buana Puspa,no badge,3,1,no badge
firzha_a,Firzha A,no badge,2,1,no badge
TotoMulyana,Toto Mulyana,no badge,5,1,no badge
eatherapy,meg mao,no badge,38,5,no badge
apriyanti,Apri Yanti,no badge,12,3,no badge
derrylgoeman,Derryl Goemansalangi,no badge,1,1,no badge
threesiana_dheriyani,Threesiana Dheriyani,Alfa 2021,605,14,"Kopi,Bakmi,Sushi,Dessert,Bubble Tea,"
felita,duocicip,Alfa 2021,736,15,"Ramen,Chinese Food,Dimsum,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
ivan_setiawan,Ivan Setiawan,Alfa 2021,798,15,"Steak,Ramen,Dimsum,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
riani_sabilliani,Riani Sabilliani,no badge,1,1,no badge
ardinapuspita,ardinapuspita,no badge,10,2,no badge
Makan2Tv,Makan2 TV Food & Travel,Alfa 2021,682,15,"Ramen,Chinese Food,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
yasyars,yasyars,no badge,3,1,no badge
intnindh,Intan Indah,no badge,99,8,"Kopi,"
mikirmakanapa,mikirmakanapa,no badge,11,2,no badge
aprilprabowo,jimmyneutron,no badge,692,15,"Steak,Ramen,Chinese Food,Seafood,BBQ,Pancake,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,"
benedicta_andriselly,ig: @andriselly,Alfa 2021,888,17,"Steak,Ramen,Chinese Food,Dimsum,Seafood,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
dhintaliifah,dhintaliifah,no badge,2,1,no badge
all_me_yeah,Gregorius Bayu | ig: exploresto,Alfa 2021,1894,19,"Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
farhatur_roisah,Ocha Roisah,no badge,69,7,no badge
inge_krisniawati,Inge Inge,Alfa 2021,745,14,"Ramen,Chinese Food,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
puttri_syani,Puttri Syani,no badge,1,1,no badge
me_pawn,Richard Rolanda,no badge,6,2,no badge
yokmakan.dibdg,yokmakan.dibdg,no badge,1,1,no badge
intaniatrvyt,Intania Triviyati,no badge,1,1,no badge
bramantyosaptian,Bramantyo Saptian,no badge,2,1,no badge
doyanbangetjajan_doyanjajan,doyanbangetjajan doyanjajan,no badge,3,1,no badge
oetari_pramesti,OETARI PRAMESTI,no badge,10,3,no badge
reza_rahmatsyah,Reza Rahmatsyah,no badge,16,3,no badge
Basyar,Basyar,no badge,15,3,no badge
