SMAN 9 BATANG HARI,10505807,Negeri,SMA,Pemerintah Daerah,215,2007-04-18,Bupati Batanghari No. 215 Tahun 2007,2007-04-18,Tidak ada,BRI,MUARA BULIAN,SMAN 9 BATANG HARI,20000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,7700,Telkomsel Flash,JL.SEKOLAH,2 / 1,Sidodadi,Terentang Baru,Kec. Batin XXIV,Kab. Batang Hari,Prov. Jambi,36656,-1.9140000,103.1350000
SMAN 4 BATANG HARI,10500219,Negeri,SMA,Pemerintah Daerah,2837/Disdik-2.1/IX/2019,2019-09-19,2837/Disdik-2.1/IX/2019,2019-09-19,Tidak ada,BNI,JAMBI,SMAN 4 BATANGHARI,2000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,3500,Telkomsel Flash,JL. JAMBI  - MA .BUNGO,1 / 0,MENCORA,Pematang Gadung,Kec. Mersam,Kab. Batang Hari,Prov. Jambi,36654,-1.5952000,102.9444000
SMAN 6 BATANG HARI,10500236,Negeri,SMA,Pemerintah Daerah,2837/Disdik-2.1/IX/2019,2019-09-19,2837/Disdik-2.1/IX/2019,2019-09-19,Tidak ada,BRI,-,SMA N 6 BATANGHARI,20000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2000,Tidak Ada,JL. KERAMAT TINGGI NO. 60,1 / 1,-,Pasar Baru,Kec. Muara Bulian,Kab. Batang Hari,Prov. Jambi,36613,-1.7182000,103.2426000
SMAS IT TRIO BATANG HARI,69944090,Swasta,SMA,Yayasan,Nomor 40 Tahun 2004,2004-10-21,Nomor 101 Tahun 2016,2016-05-16,Tidak ada,BRI,Muara Bulian,Yayasan Trio Batanghari,1000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,Tidak Ada,Sridadi,3 /,Sridadi,Sri Dadi,Kec. Muara Bulian,Kab. Batang Hari,Prov. Jambi,-,-1.7934827,103.2095851
SMAS MADINAH,69932092,Swasta,SMA,Yayasan,3054 Tahun 2015,2015-11-27,3054 Tahun 2015,2015-11-27,Tidak ada,BNI,Muara Bulian,SMAS MADINAH,5,5,Bersedia Menerima,Siang,Belum Bersertifikat,PLN,2200,Tidak Ada,Kelurahan Kampung Baru,5 / 1,Kampung baru,Kampung Baru Km 5,Kec. Muara Tembesi,Kab. Batang Hari,Prov. Jambi,36653,-1.7175070,103.1303910
SMAN Titian Teras Muara Bungo,69988417,Negeri,SMA,Pemerintah Daerah,KPTS.1604/DISDIK/1.1/VI2019,2019-05-23,KPTS.1605/DISDIK/1.1/VI2019,2019-05-23,Tidak ada,BRI,MUARA BUNGO,SUYADI,70000,0,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN & Diesel,20000,Telkom Speedy,Jln. Raya Jambi - Muara Bungo Km. 21 Simpang Babeko,1 / 2,Simpang Babeko,Simpang Babeko,Kec. Bathin II Babeko,Kab. Bungo,Prov. Jambi,37210,-1.5973440,103.4653590
SMAN 4 BUNGO,10500697,Negeri,SMA,Pemerintah Daerah,426.8.1991,2015-05-18,S. 838 /DISDIK-1.1/111/2019,2019-03-12,Tidak ada,BPD CABANG BUNGO,MUARA BUNGO,SMAN 3 MUARA BUNGO,35500,0,Bersedia Menerima,Pagi,9001,PLN,10600,Telkomsel Flash,JL. KADEMANG KM 6 SUNGAI BINJAI,6 / 2,-,KELURAHAN SUNGAI BINJAI,Kec. Bathin III,Kab. Bungo,Prov. Jambi,37215,-1.4324000,102.1131000
SMAN 15 BUNGO,10505106,Negeri,SMA,Pemerintah Daerah,583 / P dan K Tahun 2008,2008-04-22,583 / P dan K Tahun 2008,2008-04-22,Tidak ada,BRI CABANG MUARA BUN,-,SMA N 1 LIMBUR LUBUK MENGKUANG,0,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN & Diesel,0,Telkomsel Flash,JLN. PUNAI DESA TUO LIMBUR,15 / 1,Tuo Limbur,Tuo Limbur,Kec. Limbur Lubuk Mengkuang,Kab. Bungo,Prov. Jambi,37255,-1.5176000,101.6596000
SMAN 10 BUNGO,10500782,Negeri,SMA,Pemerintah Daerah,69,2019-03-12,S.838/DISDIK-1.1/III/2019,2019-03-12,Tidak ada,BPD,Bungo,SMA NEGERI 1 PELEPAT,0,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,Telkomsel Flash,DESA SENAMAT,0 / 0,Senamat,Senamat,Kec. Pelepat,Kab. Bungo,Prov. Jambi,37262,-1.6504000,102.1384000
SMAN 8 BUNGO,10500674,Negeri,SMA,Pemerintah Daerah,2094/2000,2000-10-31,84/530.1-06.3/2000,2000-10-31,Tidak ada,BRI,Cabang Bungo,SMA NEGERI 1 RANTAU PANDAN,22973,0,Bersedia Menerima,Pagi,9001,PLN,1298,Telkomsel Flash,JL. RADEN MATAHER RANTAU PANDAN KM. 02,0 / 0,RANTAU PANDAN,Rantau Pandan,Kec. Rantau Pandan,Kab. Bungo,Prov. Jambi,37261,-1.6270590,101.9508280
SMAN 12 BUNGO,10505085,Negeri,SMA,Pemerintah Daerah,45 88IK 2007,2019-03-12,-,2019-03-12,Tidak ada,BNI,MUARA BUNGO,SMA NEGERI 4 MUARA BUNGO,6838,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,4500,Tidak Ada,JL. RANGKAYO HITAM,7 / 3,-,KELURAHAN CADIKA,Kec. Rimbo Tengah,Kab. Bungo,Prov. Jambi,37214,-1.5014000,102.1291000
SMAN 18 BUNGO,69873698,Negeri,SMA,Pemerintah Daerah,473/DIK TAHUN 2014,2014-09-17,121/TAHUN 2014,2014-01-02,Tidak ada,BRI,MUARA BUNGO,SMA NEGERI 3 TANAH SEPENGGAL,1042,0,Bersedia Menerima,Pagi,Proses Sertifikasi,PLN,5900,Telkomsel Flash,JL. TANAH TUMBUH,0 / 0,Empelu,Empelu,Kec. Tanah Sepenggal,Kab. Bungo,Prov. Jambi,37263,-1.4499200,101.9785190
SMAN 11 BUNGO,10500696,Negeri,SMA,Pemerintah Daerah,425.11 / 2720 / P dan K,2003-07-10,425.11 / 2720 / P dan K,2003-07-10,Tidak ada,BNI,MUARA BUNGO,SMA NEGERI 2 TANAH TUMBUH,0,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,Tidak Ada,Jln. Dam Tapus Dusun Koto Jayo Kecamatan Tanah Tumbuh,0 / 0,Koto Jayo,Koto Jayo,Kec. Tanah Tumbuh,Kab. Bungo,Prov. Jambi,37255,-1.4456000,101.8712000
SMAN 13 KERINCI,10505724,Negeri,SMA,Pemerintah Daerah,420/kep.18/2009,2009-02-17,420/kep.18/2009,2009-02-17,Tidak ada,BNI,Sungai penuh,SMA NEGERI 13 KERINCI,0,0,Bersedia Menerima,Pagi,9001,PLN & Diesel,1300,Lainnya (Satelit),SUNGAI TUTUNG,0 / 0,Sungai Tutung,Sungai Tutung,Kec. Air Hangat Timur,Kab. Kerinci,Prov. Jambi,37161,-2.0172000,101.4210000
SMAN 10 KERINCI,10502397,Negeri,SMA,Pemerintah Daerah,15 Tahun 2005,2005-02-28,KPTS.723/DISDIK/1.1/XI/2019,2019-11-22,Tidak ada,BANK JAMBI,sungai penuh,SMAN 10 KERINCI,20600,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1199,Telkomsel Flash,LOLO GEDANG,0 / 0,Lolo Gedang,Lolo Gedang,Kec. Bukit Kerman,Kab. Kerinci,Prov. Jambi,37174,-2.2263000,101.5314000
SMAN 12 KERINCI,10505723,Negeri,SMA,Pemerintah Daerah,800/550/Pdk-2005,2005-07-12,800/760/Pdk-2006,2006-10-12,Tidak ada,BNI,SUNGAI PENUH,SMAN 12 KERINCI,15,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,Telkomsel Flash,SIULAK TENANG,3 / 0,Siulak Tenang,Siulak Tenang,Kec. Gunung Kerinci,Kab. Kerinci,Prov. Jambi,37162,-1.9092000,101.2959000
SMAN 3 KERINCI,10502393,Negeri,SMA,Pemerintah Daerah,0558/0/1984,1984-07-01,0558/0/1984,1984-07-01,Tidak ada,BANK BRI,SUNGAI PENUH,SMA NEGERI 3 KERINCI,20000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,Telkomsel Flash,Jl. Raya Pulau Tengah,0 / 0,-,L I M OK MANAIH P U L AU TENGAH,Kec. Keliling Danau,Kab. Kerinci,Prov. Jambi,37173,-2.1755000,101.4687000
SMAN 14 KERINCI,69974040,Negeri,SMA,Pemerintah Daerah,421.11/477/SM/PDK-2016,2016-05-25,KPTS.134/DISDIK/1.1/II/2018,2018-02-12,Tidak ada,BNI,SUNGAI PENUH,SMAN 14 KERINCI,10000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,Telkomsel Flash,Jln. Baru Desa Sungai Langkap,1 /,SUNGAI LANGKAP,Sungai Langkap,Kec. Siulak Mukai,Kab. Kerinci,Prov. Jambi,37162,-1.8816100,101.4549330
SMAN 7 MERANGIN,10505058,Negeri,SMA,Pemerintah Daerah,34 TAHUN 2004,2004-01-21,34 TAHUN 2004,2004-01-21,Tidak ada,BNI,Bangko,SMA NEGERI 7 MERANGIN,2,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,22000,Tidak Ada,JL. TALANG KAWO DS. BANGKO,32 / 5,Dusun Bangko,DUSUN BANGKO,Kec. Bangko,Kab. Merangin,Prov. Jambi,37313,-2.0783000,102.2826000
SMAN 9 MERANGIN,10505053,Negeri,SMA,Pemerintah Daerah,34,2004-02-21,34/2004,2004-02-21,Tidak ada,BNI,BANGKO,SMAN 9 MERANGIN,9600,0,Bersedia Menerima,Siang,Belum Bersertifikat,PLN & Diesel,1300,Telkomsel Flash,Jalan Lintas Bangko-Jangkat,0 / 0,Bukit Barisan,Muara Madras,Kec. Jangkat,Kab. Merangin,Prov. Jambi,37372,-2.6390000,101.8887000
SMA NEGERI 13 MERANGIN,10505057,Negeri,SMA,Pemerintah Daerah,32/0/PD/2004,2005-04-04,312 TAHUN 2007,2007-06-05,Tidak ada,BANK 9 JAMBI,Bangko,SMA N 13 Merangin,20000,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,10600,Tidak Ada,Jln. Pendidikan No.1,1 / 2,Suko Rejo,Suko Rejo,Kec. Margo Tabir,Kab. Merangin,Prov. Jambi,37353,-1.8860000,102.3270000
SMAN 8 MERANGIN,10505056,Negeri,SMA,Pemerintah Daerah,742/I.107/MN,2000-07-19,312 TAHUN 2008,2008-06-05,Tidak ada,BRI,BANGKO,SMA N 8 MERANGIN,19076,0,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN & Diesel,7700,Telkomsel Flash,JL. KEMANG MANIS PASAR PAMENANG,26 / 11,TEBAT RAJO,KELURAHAN PAMENANG,Kec. Pamenang,Kab. Merangin,Prov. Jambi,37357,-2.1274000,102.5285000
SMA NEGERI 18 MERANGIN,10507205,Negeri,SMA,Pemerintah Daerah,421.3/183/PD/2005,2005-06-13,06 Tahun 2008,2008-01-17,Tidak ada,BNI,Cabang Bangko,SMA Negeri 18 Merangin,8,0,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,2200,Lainnya (Wavelan),JL.BANGKO-KERINCI KM30 GUGUK,0 / 0,Simpang Guguk,Guguk,Kec. Renah Pemparap,Kab. Merangin,Prov. Jambi,37361,-2.1562000,102.0753000
SMAS UPT BATANG KIBUL,10505731,Swasta,SMA,Yayasan,-,1900-01-01,1423 Tahun 2008,2008-12-23,Tidak ada,BNI,Bangko,SMAS UPT BATANG KIBUL,600,0,Bersedia Menerima,Pagi,Belum Bersertifikat,Tidak Ada,0,Tidak Ada,DESA BATANG KIBUL,1 / 0,Batang Kibul,Batang Kibul,Kec. Tabir Barat,Kab. Merangin,Prov. Jambi,37353,-1.9317000,102.0122000
